id,name,nation,pos,born,club,league,Last_played,Tackles_defense,Challenges_defense,Blocks_defense,Total_passing,Short_passing,Medium_passing,Long_passing,Expected_passing,Standard_shooting,Expected_shooting,Playing Time_stats,Performance_stats,Expected_stats,Progression_stats,Per_90_Minute_stats,age,defense_ratings,passing_ratings,shooting_ratings,keeping_ratings,potential_ratings,pos_encoded,overall_ratings,Market_Value,Image_URL
923,Erling Haaland,NOR,FW,2000,Manchester City,ENG-Premier League,2425,2.88,10.08,7.111111111,907.1666667,158.2577778,74.49333333,25.58888889,1.616666667,20.72772222,9.3476,603.6866667,11.45,17.30666667,60.17777778,0.774,25,43.012,72.134926,90.50402734,11.52360195,88.9,3,87.52,200000000,https://img.a.transfermarkt.technology/portrait/header/418560-1709108116.png?lm=1
2289,Vinicius Júnior,BRA,"FW,MF",2000,Real Madrid,ESP-La Liga,2425,11.7047619,18.87142857,9.80952381,2070.506667,274.6492063,128.5301587,49.31111111,2.154761905,12.67511905,3.292761905,465.3035714,5.31547619,8.632142857,153.3809524,0.482095238,25,46.684,77.31513,97.82871841,11.02680673,89.5,5,87.09,200000000,https://img.a.transfermarkt.technology/portrait/header/371998-1664869583.jpg?lm=1
2281,Jude Bellingham,ENG,MF,2003,Real Madrid,ESP-La Liga,2425,24.54,30.425,26.66666667,4901.918,465.34,294.4166667,97.29666667,2.52,12.12066667,3.929,518.14,5.975,7.4025,119.4333333,0.4349,22,72.584,89.49443,84.4549167,10.63150368,92.63,7,89.17,180000000,https://img.a.transfermarkt.technology/portrait/header/581678-1693987944.jpg?lm=1
1988,Lamine Yamal,ESP,FW,2007,Barcelona,ESP-La Liga,2425,17.1,22.46666667,9.444444444,2329.853333,279.0777778,159.3055556,46.78888889,2.633333333,12.13402778,1.692333333,387.8666667,3.479166667,6.258333333,127.5,0.642166667,18,57.844,78.75422,94.7083462,10.5272968,91.27,3,79.98,180000000,https://img.a.transfermarkt.technology/portrait/header/937958-1720606123.jpg?lm=1
2282,Kylian Mbappé,FRA,FW,1998,Real Madrid,ESP-La Liga,2425,3.323809524,16.98214286,3.015873016,2838.762857,365.3174603,175.231746,53.71904762,2.569047619,22.32738095,8.629333333,553.6690476,11.20238095,15.775,179.8095238,0.790904762,27,38.24,80.70416,98.3557824,11.89177841,91,3,89.4,160000000,https://img.a.transfermarkt.technology/portrait/header/342229-1682683695.jpg?lm=1
609,Bukayo Saka,ENG,FW,2001,Arsenal,ENG-Premier League,2425,20.96190476,29.445,17.46031746,3236.614286,364.7514286,198.3139683,70.55873016,3.754761905,12.63476984,3.086057143,568.227381,6.011904762,8.558333333,174.8571429,0.41547619,24,63.384,82.887886,98.49902924,11.25405802,90.18,3,88.3,150000000,https://img.a.transfermarkt.technology/portrait/header/433177-1684155052.jpg?lm=1
4653,Florian Wirtz,GER,FW,2003,Leverkusen,GER-Bundesliga,2425,12.69333333,21.215,15.86666667,3703.522667,456.0888889,215.6466667,62.33111111,4.51,11.98405556,2.579733333,438.74,5.016666667,5.985,134.0222222,0.425466667,22,53.204,89.43822,90.9578559,11.16433676,91.59,3,89,140000000,https://img.a.transfermarkt.technology/portrait/header/598577-1689710503.jpg?lm=1
4432,Jamal Musiala,GER,MF,2003,Bayern Munich,GER-Bundesliga,2425,14.82666667,21.64625,14.62222222,2275.326667,280.22,161.7155556,40.31777778,2.07,11.78881944,3.705533333,370.28,4.658333333,6.785,92.97777778,0.509866667,22,59.226,82.75849,82.3449925,9.899973881,90.78,7,87.07,140000000,https://img.a.transfermarkt.technology/portrait/header/580195-1711745441.jpg?lm=1
938,Phil Foden,ENG,MF,2000,Manchester City,ENG-Premier League,2425,9.19047619,20.13809524,10.85714286,3320.392381,402.952381,201.5650794,64.57301587,2.169047619,12.98325397,4.193333333,454.8380952,5.196428571,6.854761905,114.4285714,0.463428571,25,54.444,84.77362,85.88297384,10.49971648,88.86,7,86.91,140000000,https://img.a.transfermarkt.technology/portrait/header/406635-1668524492.jpg?lm=1
744,Cole Palmer,ENG,"MF,FW",2002,Chelsea,ENG-Premier League,2425,6.625,17.153125,6.75,2925.3725,221.5583333,188.7166667,85.30138889,1.95625,13.61208333,3.649166667,376.4125,6.109375,8.4875,86.58333333,0.424375,23,48.502,86.233345,87.39487693,10.18891207,89.83,9,87.08,130000000,https://img.a.transfermarkt.technology/portrait/header/568177-1712320986.jpg?lm=1
